1,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,35,5
2,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,36,7
3,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,37,5
4,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,38,4
5,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,39,1
6,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,40,8
7,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,41,10
8,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,42,10
9,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,43,4
10,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,44,1
11,b53f85c1-beed-47c9-9ef4-ee9e5cf6234e,45,7
12,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,35,7
13,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,36,5
14,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,37,8
15,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,38,5
16,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,39,7
17,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,40,1
18,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,41,2
19,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,42,7
20,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,43,6
21,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,44,2
22,95e0ff50-e5f8-4fed-88b8-1ebf5cd839ae,45,3
23,70c21323-cfa2-441f-9e0f-29b0daa415aa,35,8
24,70c21323-cfa2-441f-9e0f-29b0daa415aa,36,5
25,70c21323-cfa2-441f-9e0f-29b0daa415aa,37,5
26,70c21323-cfa2-441f-9e0f-29b0daa415aa,38,10
27,70c21323-cfa2-441f-9e0f-29b0daa415aa,39,10
28,70c21323-cfa2-441f-9e0f-29b0daa415aa,40,1
29,70c21323-cfa2-441f-9e0f-29b0daa415aa,41,10
30,70c21323-cfa2-441f-9e0f-29b0daa415aa,42,9
31,70c21323-cfa2-441f-9e0f-29b0daa415aa,43,4
32,70c21323-cfa2-441f-9e0f-29b0daa415aa,44,7
33,70c21323-cfa2-441f-9e0f-29b0daa415aa,45,3
34,bc83fbef-6a77-4095-ad0a-9043bbc86273,35,10
35,bc83fbef-6a77-4095-ad0a-9043bbc86273,36,10
36,bc83fbef-6a77-4095-ad0a-9043bbc86273,37,5
37,bc83fbef-6a77-4095-ad0a-9043bbc86273,38,3
38,bc83fbef-6a77-4095-ad0a-9043bbc86273,39,9
39,bc83fbef-6a77-4095-ad0a-9043bbc86273,40,10
40,bc83fbef-6a77-4095-ad0a-9043bbc86273,41,4
41,bc83fbef-6a77-4095-ad0a-9043bbc86273,42,8
42,bc83fbef-6a77-4095-ad0a-9043bbc86273,43,2
43,bc83fbef-6a77-4095-ad0a-9043bbc86273,44,8
44,bc83fbef-6a77-4095-ad0a-9043bbc86273,45,8
